City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI,AQI_Bucket
Bengaluru,14/11/2015,42.42,156.84,7.25,29.94,31.78,21.94,1.56,2.23,31.35,1.82,4.65,130,Moderate
Bengaluru,19/11/2015,21.99,39.86,7.08,16.44,19.51,41.96,1.73,2.95,9.98,1.52,2.38,103,Moderate
Bengaluru,20/11/2015,13.89,31.44,6.84,12.14,15.35,23.93,1.72,2.5,4.56,0.74,1.48,74,Satisfactory
Bengaluru,23/11/2015,19.66,36.84,6.47,16.37,20.87,24.04,1.35,2.83,4.09,1.18,2.17,75,Satisfactory
Bengaluru,24/11/2015,20.35,33.97,7.76,20.64,24.75,26.98,1.36,2.59,7.77,1.02,1.9,85,Satisfactory
Bengaluru,25/11/2015,34.39,36.29,8.38,28.8,32.28,32.75,2.48,3.76,14.63,1.32,3.17,141,Moderate
Bengaluru,26/11/2015,43.91,43.65,11.74,29.33,32.78,55.4,1.52,3.44,14.8,1.53,3.59,90,Satisfactory
Bengaluru,27/11/2015,44.14,112.78,7.05,26.64,27.06,32.33,2.18,4.3,25.57,1.69,3.36,126,Moderate
Bengaluru,28/11/2015,44.94,114.34,8.47,28.1,29.37,32.75,2.3,4.7,29.1,1.56,2.38,147,Moderate
Bengaluru,29/11/2015,29.35,75.79,5.72,21.21,21.4,19.08,1.55,4.55,29.03,1.01,1.15,87,Satisfactory
Bengaluru,30/11/2015,15.34,53.7,8.46,22.22,24.6,21.4,1.13,4.45,8.84,1.11,2.53,56,Satisfactory
Bengaluru,01/12/2015,14.18,55.71,12.9,25.86,27.06,21.81,1.63,5.14,9.89,0.97,2.15,88,Satisfactory
Bengaluru,02/12/2015,13.36,33.82,8.24,24.04,17.46,22,1.7,11.07,8.15,0.73,1.66,67,Satisfactory
Bengaluru,03/12/2015,19.86,72.72,11.73,33.56,26.85,37.08,1.47,8.32,9.51,0.98,2.6,74,Satisfactory
Bengaluru,04/12/2015,28.35,102.15,13.06,32.95,24.78,52.45,2.03,6.08,21.38,1,3.46,105,Moderate
Bengaluru,05/12/2015,25.04,89.26,9.79,33.02,22.96,51.77,1.72,5.43,26.44,0.77,1.47,103,Moderate
Bengaluru,07/12/2015,41.16,85.25,10.04,34.42,23.91,46.07,1.88,5.24,27.26,0.88,1.7,65,Satisfactory
Bengaluru,08/12/2015,46.33,82.86,17.24,44.41,34.36,45.43,1.81,5.81,19.1,1.01,1.92,102,Moderate
Bengaluru,09/12/2015,48.01,78.58,16.65,39.78,31.61,46.15,1.84,4.86,6.32,1.16,1.49,94,Satisfactory
Bengaluru,10/12/2015,35.48,58.04,25.04,35.58,35.53,51.46,1.92,5.27,3.36,0.99,1.46,86,Satisfactory
Bengaluru,11/12/2015,32.95,79.07,23.41,41.05,36.25,26.38,2.07,5.94,2.3,1.43,1.63,89,Satisfactory
Bengaluru,12/12/2015,50.19,73.43,18.73,57.62,31.41,20.93,1.78,5.34,2.33,1.29,1.39,99,Satisfactory
Bengaluru,13/12/2015,34.57,64.09,15.68,42.88,37.39,12.64,1.68,4.79,2.16,0.91,1.07,92,Satisfactory
Bengaluru,14/12/2015,52.06,56.71,13.51,27.66,21.45,11.98,1.33,4.38,1.87,1.29,1.6,85,Satisfactory
Bengaluru,15/12/2015,39.67,100.76,5.93,22.28,13.92,14.1,1.44,2.72,1.83,1.18,1.46,83,Satisfactory
Bengaluru,16/12/2015,50.47,56.41,4.71,37.1,20.85,20.54,1.93,3.65,6.68,1.22,1.47,92,Satisfactory
Bengaluru,17/12/2015,41.04,62.41,10.15,40.72,26.28,22.39,1.55,5.21,17.03,0.97,1.28,95,Satisfactory
Bengaluru,18/12/2015,56.62,85.88,24.29,57.36,45.46,29.2,2.67,6.99,17.28,1.61,1.55,103,Moderate
Bengaluru,19/12/2015,42.57,78.99,20.49,49.4,39.15,21.95,2.08,5.34,17.37,1.43,1.29,105,Moderate
Bengaluru,20/12/2015,60.44,65.74,17.24,43.97,33.82,26.04,1.44,5.29,20.05,1.17,1.19,97,Satisfactory
Bengaluru,21/12/2015,48.4,72.52,18.51,53.53,39.72,30.54,1.18,5.5,21.95,1.33,1.35,102,Moderate
Bengaluru,22/12/2015,49.54,84.48,22.95,65.66,49.45,34.27,1.32,5.61,20,1.96,1.69,104,Moderate
Bengaluru,23/12/2015,49.42,74.68,20.35,55.38,42.2,36.34,1.62,5.47,24.06,1.58,1.24,96,Satisfactory
Bengaluru,24/12/2015,61.58,81.49,20.86,56.16,42.26,44.44,1.29,5.38,36.04,1.41,1.22,114,Moderate
Bengaluru,25/12/2015,68.48,81.97,17.96,51.22,37.33,24.77,1.25,5.66,40.78,1.12,2.26,110,Moderate
Bengaluru,26/12/2015,57.15,63.84,15.88,42.79,31.61,18.88,1.2,5.44,41.39,1.12,1.16,109,Moderate
Bengaluru,27/12/2015,76.35,76.37,16.45,42.69,31.61,14.76,1.54,5.71,59.62,1.15,0.94,115,Moderate
Bengaluru,28/12/2015,85.66,83.91,22.68,56.3,42.44,41.98,1.77,6.01,59.5,1.21,1.05,149,Moderate
Bengaluru,29/12/2015,49.06,73.13,20.76,54.12,40.51,24.83,1.58,6.39,31.55,1.43,1.12,122,Moderate
Bengaluru,30/12/2015,48.16,74,22.45,59.75,44.59,21.42,0.85,6.94,31,1.59,1.44,91,Satisfactory
Bengaluru,31/12/2015,71.06,74.39,20.87,61.97,44.85,26.49,1.49,7.22,36.94,1.53,1.18,131,Moderate
Bengaluru,01/01/2016,56.4,95.08,13.8,51.73,34.31,14.68,0.69,7.44,55.96,0.91,0.78,101,Moderate
Bengaluru,02/01/2016,53.69,93.92,26.49,73.09,54.77,16.05,0.76,8.67,34.06,1.88,1.18,92,Satisfactory
Bengaluru,03/01/2016,62.35,99.34,24.56,77.77,55.6,16.37,0.96,9.1,47.62,2.36,1.14,108,Moderate
Bengaluru,04/01/2016,64.96,104.62,18.56,77.07,50.81,14.18,0.89,8.87,50.62,1.95,1.33,109,Moderate
Bengaluru,05/01/2016,70.15,105.12,23.56,79.43,56.05,16.97,0.85,9.41,36.94,1.92,1.26,114,Moderate
Bengaluru,06/01/2016,68.22,91.74,29.68,68.5,55.38,16.71,0.93,14.23,45.98,1.25,1.11,121,Moderate
Bengaluru,07/01/2016,68.74,74.3,42.37,53.25,58.6,26.13,0.79,23.65,23.19,27.62,16.12,116,Moderate
Bengaluru,08/01/2016,67.9,62.77,46.57,51.09,60.65,22.84,0.66,14.17,8.59,1.01,0.5,117,Moderate
Bengaluru,09/01/2016,79.8,74.11,57.18,64.04,86.73,21.32,0.79,14.65,10.66,2.62,0.55,143,Moderate
Bengaluru,10/01/2016,76.18,63.19,38.5,46.46,52.1,11.01,0.8,15.02,14.39,2.29,0.55,168,Moderate
Bengaluru,11/01/2016,61.48,53.24,23.76,39.43,62.48,10.72,0.78,11.53,19.51,1.67,1.35,122,Moderate
