City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI,AQI_Bucket
Hyderabad,08/09/2015,91.82,32.94,5.41,28.93,23.37,24.94,0.48,7.98,27.04,1.01,5.74,179,Moderate
Hyderabad,09/09/2015,35.56,40.81,4.02,31.15,24.31,24.81,0.57,4.93,22.48,1.41,7.61,162,Moderate
Hyderabad,10/09/2015,45.64,44.89,7.06,28.96,25.58,24.8,0.73,5.29,24.69,1.25,7.84,76,Satisfactory
Hyderabad,11/09/2015,60.88,51.27,5.15,30.64,24.22,25.86,0.53,5.16,24.11,1.09,5.42,140,Moderate
Hyderabad,12/09/2015,65.61,41.31,3.4,26.03,20.37,24.78,0.57,5.44,25.47,0.83,4.39,128,Moderate
Hyderabad,13/09/2015,60.02,36.67,2.35,19.82,14.51,21.68,0.49,4.02,37.7,0.79,4.07,164,Moderate
Hyderabad,14/09/2015,73.21,35.28,2.82,19.94,15.4,21.4,0.57,5.96,34.11,0.52,2.44,169,Moderate
Hyderabad,01/10/2015,120.75,92.29,1.92,21.65,15.87,27.65,0.64,2.67,15.85,1.21,5.95,340,'Very Poor'
Hyderabad,02/10/2015,29.66,76,2,25.94,16.02,20.45,0.6,3.81,17.4,1.2,5.62,125,Moderate
Hyderabad,03/10/2015,36.56,63.06,3.06,20.11,15.07,18.05,0.64,7.58,19.16,1.2,6.4,75,Satisfactory
Hyderabad,04/10/2015,42.69,59.29,3.02,17.81,13.74,14.41,1.22,5.41,21.98,1.35,6.71,85,Satisfactory
Hyderabad,05/10/2015,75.04,81.99,2.27,16.05,12.57,15.02,0.93,6.88,33.52,1.36,7.22,113,Moderate
Hyderabad,06/10/2015,136.45,108.82,6.29,11.76,16.37,8.62,0.66,7.34,32.21,1.66,12.17,231,Poor
Hyderabad,07/10/2015,150.93,110.33,6.76,6.52,12.53,7.44,0.8,11.05,35.73,1.61,12.13,246,Poor
Hyderabad,08/10/2015,116.24,110.09,7.72,7.43,14.66,11.73,0.71,10.16,35.25,1.4,9.4,244,Poor
Hyderabad,09/10/2015,137.28,93.47,7.99,7.93,15.71,7.42,1.03,8.39,36.15,1.63,8.02,316,'Very Poor'
Hyderabad,10/10/2015,69.24,81.48,1.28,2.3,3.01,7.43,1.09,6.55,33.97,1.01,6.45,219,Poor
Hyderabad,11/10/2015,45.98,62.98,1.6,2.28,3.32,7.42,0.97,5.24,37.06,1.22,6.06,117,Moderate
Hyderabad,12/10/2015,106.66,94.07,3.2,2.56,5.18,7.44,1.43,7.46,32.81,1.93,12.58,182,Moderate
Hyderabad,13/10/2015,58.05,109.03,3.31,3.46,5.84,7.43,1.35,10.15,31.12,1.98,14.94,125,Moderate
Hyderabad,14/10/2015,124.14,105.62,10.95,6.46,16.28,7.44,1.06,6.89,33.14,2.8,17.14,189,Moderate
Hyderabad,15/10/2015,192.41,104.9,4.89,3.91,8.09,7.41,1.31,9.92,40.38,2.16,14.66,272,Poor
Hyderabad,16/10/2015,118.66,116.1,1.44,1.87,2.75,7.46,0.87,7.59,35.3,1.41,8.12,266,Poor
Hyderabad,17/10/2015,155.84,112.22,1.31,1.17,1.92,7.42,0.78,5.37,33.41,1.12,6.56,230,Poor
Hyderabad,18/10/2015,59.6,107.16,1.22,0.95,1.58,7.44,0.61,5.61,33.85,1.31,7.3,210,Poor
Hyderabad,19/10/2015,65.35,102.27,2.2,1.05,2.33,9.27,0.95,6.73,32.63,1.26,9.54,118,Moderate
Hyderabad,20/10/2015,116.35,116.14,3.57,2.84,5.27,11.14,1.05,7.99,29.83,1.78,14.17,179,Moderate
Hyderabad,21/10/2015,84.18,113,3.68,3.3,5.79,11.18,1.25,7.79,30.27,1.75,11.76,212,Poor
Hyderabad,22/10/2015,86.98,116,2.72,1.94,4.51,11.18,0.62,3.9,35.23,1.66,8.04,156,Moderate
Hyderabad,23/10/2015,73.34,107.94,2.65,1.33,3.4,11.18,0.41,4.64,34.78,1.21,7.08,191,Moderate
Hyderabad,24/10/2015,133.6,104.98,2.98,0.85,2.7,11.17,1.05,6.64,44.17,1.26,6.9,185,Moderate
Hyderabad,25/10/2015,103.01,102.9,3.03,0.74,2.58,11.17,0.86,5.43,51.97,1.15,5.33,235,Poor
Hyderabad,26/10/2015,95.22,101.17,3,0.74,2.57,11.18,0.84,7.46,48.38,1.01,5.72,210,Poor
Hyderabad,27/10/2015,122.14,114.7,3.02,0.73,2.57,11.15,1.34,5.66,49.97,1.15,7.58,226,Poor
Hyderabad,28/10/2015,81.18,97.96,2.98,0.67,2.5,11.17,1.28,5.4,44.62,1.14,5.91,227,Poor
Hyderabad,29/10/2015,252.47,64.38,3.09,0.64,2.54,11.16,1.08,6,31.4,1.08,4.53,216,Poor
Hyderabad,30/10/2015,516.2,82.97,3.03,0.62,2.72,10.78,1.09,4.77,38.74,1.05,5.82,487,Severe
Hyderabad,31/10/2015,270.21,104.38,3.12,0.65,2.57,11.2,0.94,8.98,43.41,1.07,6.22,502,Severe
Hyderabad,01/11/2015,31.56,94.33,2.95,0.71,1.98,12.02,1.02,6.96,37.57,1.32,7.15,188,Moderate
Hyderabad,02/11/2015,54.91,93.72,2.89,0.71,1.96,11.97,1.15,7.07,38.74,1.31,7.52,106,Moderate
