City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI,AQI_Bucket
Kolkata,16/06/2018,47.55,128.66,6.01,24.89,24.51,7.4,0.72,7.3,27.24,2.14,0.81,119,Moderate
Kolkata,18/06/2018,50.1,105.68,3.23,33.28,36.5,8.55,1.47,3.02,72.28,1.97,2.62,107,Moderate
Kolkata,19/06/2018,39.25,87.24,2.6,30.86,33.45,12.06,1.35,1.93,81.12,1.59,2.47,148,Moderate
Kolkata,20/06/2018,24.44,53.19,5.77,38.03,43.79,9.14,1.7,6.88,49.58,2.02,3.13,94,Satisfactory
Kolkata,21/06/2018,31.68,60.16,4.46,38.39,43.04,6.52,1.42,1.31,13.47,3.76,5.52,100,Satisfactory
Kolkata,22/06/2018,25.22,48.96,0.99,28.1,29.07,6.53,0.39,2.31,30.32,1.62,2.65,60,Satisfactory
Kolkata,23/06/2018,22.95,44.58,1.14,25.76,26.85,5.38,0.38,1.06,22.84,1.67,2.63,47,Good
Kolkata,24/06/2018,24.61,46.54,0.86,25.49,26.32,3.96,0.4,1.1,23.13,1.51,2.28,48,Good
Kolkata,25/06/2018,28.6,45.36,1.95,43.45,45.37,3.62,0.41,1.11,13.56,2.58,4.17,50,Good
Kolkata,26/06/2018,30.5,46.08,1.27,37.12,38.33,3.19,0.38,2.29,34.84,2.05,4.41,61,Satisfactory
Kolkata,27/06/2018,22.66,33.83,2.13,29.53,31.65,3.68,0.38,1.22,20.27,3.21,5.41,53,Satisfactory
Kolkata,28/06/2018,24.4,26.42,1.95,20.88,22.79,6.38,0.31,1.06,23.24,1.08,2.21,34,Good
Kolkata,29/06/2018,16.11,35,1.34,22.85,24.17,5.29,0.33,4.46,27.59,1.19,2.3,46,Good
Kolkata,30/06/2018,28.7,55.13,0.59,17.93,18.5,4.44,0.32,4.76,31.3,1.01,2.2,50,Good
Kolkata,01/07/2018,27.7,57.99,0.47,14.31,14.73,3.71,0.32,11.14,37.19,0.71,1.61,58,Satisfactory
Kolkata,02/07/2018,29.26,55.35,0.88,19.66,20.51,2.88,0.37,9.13,40.46,1,1.92,62,Satisfactory
Kolkata,03/07/2018,27.81,50.73,4.36,29.82,33.96,1.65,0.39,1.63,21.63,2.04,2.81,50,Good
Kolkata,04/07/2018,33.61,53.17,7.07,31.37,38.44,3.36,0.43,2.12,17.4,2.4,3.39,58,Satisfactory
Kolkata,05/07/2018,42.66,47.83,7.93,40.22,48.15,25.45,0.41,6.57,10.01,2.5,3.24,57,Satisfactory
Kolkata,06/07/2018,40.26,65.18,6.53,48.65,55.18,1.52,0.44,1.09,20.83,6.83,12.34,77,Satisfactory
Kolkata,07/07/2018,18.54,37.89,8.62,31.28,39.9,4.06,0.36,1.29,16.83,2.81,3.07,65,Satisfactory
Kolkata,08/07/2018,9.84,28.42,3.09,17.9,20.99,5.91,0.3,1.35,27.19,1.48,1.8,36,Good
Kolkata,09/07/2018,15.7,30.91,9.46,34.35,43.82,3.46,0.36,1.16,16.92,7.31,5.3,36,Good
Kolkata,10/07/2018,18.81,38.66,7.32,34.69,42.01,1.93,0.37,1.23,14,5.82,4.23,56,Satisfactory
Kolkata,11/07/2018,18.01,36.07,4.76,29.23,33.98,5.65,0.38,1.11,18.3,2.12,2.41,49,Good
Kolkata,12/07/2018,18.38,36.92,4.68,27.7,32.37,11.69,0.4,1.28,16.2,2.36,2.53,42,Good
Kolkata,13/07/2018,13.55,40.49,7.16,27.36,34.51,10.37,0.38,0.97,13.9,3.59,2.76,39,Good
Kolkata,14/07/2018,12.25,30.87,4.49,21.61,26.11,9.79,0.37,1.01,12.06,6.55,4.03,41,Good
Kolkata,15/07/2018,7.72,19.72,3.11,15.6,18.71,9.52,0.37,1.08,17.87,1.31,1.81,28,Good
Kolkata,16/07/2018,7.64,20.65,4.93,22.24,27,8.72,0.37,1,16.58,1.81,2.07,26,Good
Kolkata,17/07/2018,12.9,28.06,7.34,31.74,39.08,8.99,0.38,1.24,13.37,6.47,4.16,42,Good
Kolkata,18/07/2018,14.91,29.44,5.89,28.42,34.29,10.72,0.51,1.03,11.05,3.33,2.83,46,Good
Kolkata,19/07/2018,16.16,33.09,9.08,28.22,37.31,6.39,0.76,1.01,17.28,4.43,5.84,46,Good
Kolkata,20/07/2018,17.75,37.53,6.68,27.42,34.09,6.78,0.77,1.51,10.65,3.51,10.57,56,Satisfactory
Kolkata,21/07/2018,6.06,16.48,3.7,15.58,19.28,7.47,0.63,1.34,16.18,5.3,8.68,36,Good
Kolkata,22/07/2018,6.68,12.6,3.4,16.74,20.14,4.9,0.64,1.63,20.36,0.96,11.04,34,Good
Kolkata,23/07/2018,22.03,36.75,9.06,32.64,41.7,3.33,0.7,1.38,15.98,1.42,9.26,38,Good
